No,項目名,項目値,データ型,必須,許容値,具体例,バリデーション,備考
1,コマンド,command,"列挙型 
(候補値参照)",TRUE,"・NEW
・UPDATE",,候補値のいずれかであること,UPDATEの場合、品番、SKUコードと更新したい項目のみでOK
2,SKUコード,sku,"半角英数字
記号混在",TRUE,,,1文字以上、100文字以内,
3,品番,product_code,"半角英数字
記号混在",TRUE,,SS-HM-102234,1文字以上、100文字以内,商品コードが登録済みであること
4,メーカーSKU (任意),supplier_sku,"半角英数字
記号混在",FALSE,,SSHM102234BKS ,1文字以上、100文字以内,
7,オプション1の値,option1_value,文字列,TRUE,,ブラック,1文字以上、100文字以内,対象商品の ProductOption (Index=0) に対するオプション値。products.csv の option1_name で定義した名前 (例: カラー) の値を指定する。
8,オプション1の値のコード (任意),option1_value_code,文字列,FALSE,,112,100文字以内,
6,オプション1の値のインデックス(任意),option1_value_index,半角英数字,FALSE,,1,最小値0,
10,オプション2の値 (任意),option2_value,文字列,FALSE,,S,1文字以上、100文字以内,対象商品の ProductOption (Index=1) に対するオプション値。products.csv の option2_name で定義した名前 (例: サイズ) の値を指定する。option2_name 未定義の商品では空欄。
11,オプション2の値のコード (任意),option2_value_code,文字列,FALSE,,113,100文字以内,
9,オプション2のインデックス(任意),option2_value_index,半角英数字,FALSE,,2,最小値0,
13,オプション3の値 (任意),option3_value,文字列,FALSE,,,1文字以上、100文字以内,対象商品の ProductOption (Index=2) に対するオプション値。products.csv の option3_name で定義した名前の値を指定する。option3_name 未定義の商品では空欄。
14,オプション3の値のコード (任意),option3_value_code,文字列,FALSE,,,100文字以内,
12,オプション3のインデックス(任意),option3_value_index,半角英数字,FALSE,,,最小値0,
15,上代価格,price,数値,TRUE,,11000,最小値0円,OmnibusCore連携の場合は税抜価格での登録が必要です
16,上代通貨,price_currency_code,列挙型,TRUE,JPY,JPY,候補値のいずれかであること,
17,重量値 (任意),weight_value,数値(小数型）,FALSE,,,最小値0,WeightUnitが設定されている場合必須
18,重量単位 (任意),weight_unit,"列挙型 
(候補値参照)",FALSE,"・GRAMS
・KILOGRAMS
・OUNCES
・POUNDS",,候補値のいずれかであること,Weight Valueが設定されている場合必須
19,在庫ポリシー （任意）,inventory_policy,"列挙型 
(候補値参照)",FALSE,"・CONTINUE
・DENY ",,候補値のいずれかであること,"在庫切れの場合でも販売を続ける
デフォルトはDENY"
20,在庫追跡 (任意),is_tracked,"列挙型 
(候補値参照)",FALSE,"・TRUE
・FALSE",,候補値のいずれかであること,デフォルトはTRUE
21,出荷が必要な商品 (任意),requires_shipping,"列挙型 
(候補値参照)",FALSE,"・TRUE
・FALSE",,候補値のいずれかであること,デフォルトはTRUE
22,バーコード (任意),barcode,半角英数字,FALSE,,260000456789123,100文字以内,EAN、UPC、ISBNなど、どの規格でも登録可
23,JANコード (任意),jan,半角英数字,FALSE,,4550671049111,100文字以内,
24,UPCコード (任意),upc,半角英数字,FALSE,,550671049111,100文字以内,
25,HSコード (任意),harmonized_system_code,半角英数字,FALSE,,1111110000,6文字以上、13文字以内,
26,原産国コード (任意),country_code_of_origin,列挙型 ,FALSE,,JP,候補値のいずれかであること,
